,title,sku,item
1743,Decorated Renegade 105mm,Clubs:105D,Standard Knob
1744,Renegade Club Replacement Parts,Clubs:partsCAP,assembly adhesive ($5.00)
1745,Pre-cut Juggling Club Decoration Foil,Clubs:partsdeco,Orange Facets
1746,"Decorated Renegade 85mm+, Fiberglass Dowel",Clubs:85Dfiber,Fuchsia Facets
1747,Replacement Light Cartridge (LED) for Glow Props ,Glow:REP,red
1748,Renegade Fire Rope Dart,RFD,"10 foot, 3.5 inch monkey fist ($90.00)"
1749,K-8 LED Devil Stick RGB-IR ,GLOW:K8D,"devil stick, remote, charger and hand sticks ($199.00)"
1750,Renegade Diabolo,InvDiab:REN,Select Color
1751,silicone contact poi knob (10 MM hole),PSKLEDB,yellow
1752,"Decorated Renegade 85mm, Wood Dowel",Clubs:85D,ORANGE
1753,"Batteries for LED Balls, Rings, Staffs, Clubs",GLOW:G3BAT,hoops (single battery) ($5.00)
1754,Quantum PX3 and PX4 Play Club Parts ,Clubs:partsquant,Fluro Pink Px4 ($11.00)
1755,"Decorated Renegade 85mm, Wood Dowel (colored rubber)",Clubs:85DC,Length
1756,Decorated Renegade 105mm,Clubs:105D,Px3 ROUND knob (small - 1.33 in) ($1.00)
1757,Renegade Club Replacement Parts,Clubs:partsCAP,club size
1758,Pre-cut Juggling Club Decoration Foil,Clubs:partsdeco,Pink Facets
1759,"Decorated Renegade 85mm+, Fiberglass Dowel",Clubs:85Dfiber,Green Facet
1760,Replacement Light Cartridge (LED) for Glow Props ,Glow:REP,green
1761,Renegade Fire Rope Dart,RFD,"10 foot, 3.0 inch monkey fist ($90.00)"
1762,K-8 LED Devil Stick RGB-IR ,GLOW:K8D,one IR remote ($35.00)
1763,Renegade Diabolo,InvDiab:REN,white
1764,K8 Sundia IR-RGB LED Diabolo,InvDiab:k8led,K8 Sundia IR-RGB LED Diabolo
1765,LED Poi Ball Heads,POI:PH2,Color
1766,silicone contact poi knob (10 MM hole),PSKLEDB,green
1767,"Decorated Renegade 85mm, Wood Dowel",Clubs:85D,TANGERINE
1768,Quantum PX3 and PX4 Play Club Parts ,Clubs:partsquant,Fluro Green Px4 ($11.00)
1769,"Decorated Renegade 85mm, Wood Dowel (colored rubber)",Clubs:85DC,"Standard 20"""
1770,Decorated Renegade 105mm,Clubs:105D,Px3 FLAT BOTTOM knob ($1.00)
1771,Renegade Club Replacement Parts,Clubs:partsCAP,105mm
1772,Pre-cut Juggling Club Decoration Foil,Clubs:partsdeco,Yellow Facets
1773,"Decorated Renegade 85mm+, Fiberglass Dowel",Clubs:85Dfiber,Orange Facets
1774,Replacement Light Cartridge (LED) for Glow Props ,Glow:REP,blue
1775,K-8 LED Devil Stick RGB-IR ,GLOW:K8D,one 2 plug charge ($20.00)
1776,Renegade Diabolo,InvDiab:REN,yellow
1777,LED Poi Ball Heads,POI:PH2,Red
1778,"Px4 hybrid 85mm, Fiberglass Dowel",Clubs:85hybridfiber,Body
1779,"QU-AX square taper hub, black, 36 holes",QUXHUB36taper,hub type
1780,Henrys Albatros Europ,Clubs:Haabe,Body Decoration Color
1781,Fire Meteors,MET:MONF,meteors ball size
1782,Vegas PX3 and PX4 Play Club Parts ,Clubs:partsvegas,Cap Type and Color ( include screw and washer)
1783,silicone contact poi knob (10 MM hole),PSKLEDB,glow in the dark
1784,"Decorated Renegade 85mm, Wood Dowel",Clubs:85D,YELLOW
1785,Quantum PX3 and PX4 Play Club Parts ,Clubs:partsquant,Fluro Yellow Px4 ($11.00)
1786,"Decorated Renegade 85mm, Wood Dowel (colored rubber)",Clubs:85DC,"CUSTOM 19 3/4"""
1787,Decorated Renegade 105mm,Clubs:105D,Free Book Offer “Virtuosos of Juggling”
1788,Renegade Club Replacement Parts,Clubs:partsCAP,95mm 
1789,Pre-cut Juggling Club Decoration Foil,Clubs:partsdeco,Aqua Stars
1790,"Decorated Renegade 85mm+, Fiberglass Dowel",Clubs:85Dfiber,Pink Facets
1791,Replacement Light Cartridge (LED) for Glow Props ,Glow:REP,fade
1792,K-8 LED Devil Stick RGB-IR ,GLOW:K8D,devil stick ( only) ($150.00)
1793,Renegade Diabolo,InvDiab:REN,blue
1794,LED Poi Ball Heads,POI:PH2,Orange
1795,"Px4 hybrid 85mm, Fiberglass Dowel",Clubs:85hybridfiber,MIXED (we pick the colors)
1796,"QU-AX square taper hub, black, 36 holes",QUXHUB36taper,hub without disk mount (as shown)
1797,Henrys Albatros Europ,Clubs:Haabe,red
1798,Fire Meteors,MET:MONF,3 inch ball
1799,Vegas PX3 and PX4 Play Club Parts ,Clubs:partsvegas,Curved White ($4.00)
1800,S-Staff LED with Fiber Optics,GLOW:SSTAFF,LED Colors
1801,silicone contact poi knob (10 MM hole),PSKLEDB,blue
1802,"Decorated Renegade 85mm, Wood Dowel",Clubs:85D,GREEN
1803,Quantum PX3 and PX4 Play Club Parts ,Clubs:partsquant,Fluro Orange Px4 ($11.00)
1804,"Decorated Renegade 85mm, Wood Dowel (colored rubber)",Clubs:85DC,"CUSTOM 19 1/2"""
1805,Decorated Renegade 105mm,Clubs:105D,I am ordering four or more clubs and want a free book ($26.95 value)
1806,Renegade Club Replacement Parts,Clubs:partsCAP,85mm
1807,Pre-cut Juggling Club Decoration Foil,Clubs:partsdeco,Fuchsia Stars
1808,"Decorated Renegade 85mm+, Fiberglass Dowel",Clubs:85Dfiber,Silver Facets
1809,Replacement Light Cartridge (LED) for Glow Props ,Glow:REP,7 color change
1810,Renegade Diabolo,InvDiab:REN,green
1811,LED Poi Ball Heads,POI:PH2,Yellow
1812,"Px4 hybrid 85mm, Fiberglass Dowel",Clubs:85hybridfiber,WHITE
1813,"QU-AX square taper hub, black, 36 holes",QUXHUB36taper,hub with disk mount ( not shown) ($8.00)
1814,Henrys Albatros Europ,Clubs:Haabe,blue
1815,Fire Meteors,MET:MONF,3.5 ball
1816,Vegas PX3 and PX4 Play Club Parts ,Clubs:partsvegas,Curved Black ($4.00)
1817,S-Staff LED with Fiber Optics,GLOW:SSTAFF,Red
1818,silicone contact poi knob (10 MM hole),PSKLEDB,aqua 
1819,"Decorated Renegade 85mm, Wood Dowel",Clubs:85D,BLUE
1820,Q-Axle Hub 36 Hole Red (disk-hub option),QUXHUB36red,hub type
1821,"Px3 hybrid 85mm, Plastic Dowel",Clubs:85hybridplastic,Body
1822,Quantum PX3 and PX4 Play Club Parts ,Clubs:partsquant,White Smooth Px4 ($11.00)
1823,"Decorated Renegade 85mm, Wood Dowel (colored rubber)",Clubs:85DC,"CUSTOM 19 1/4"""
1824,Renegade Club Replacement Parts,Clubs:partsCAP,75mm
1825,Pre-cut Juggling Club Decoration Foil,Clubs:partsdeco,Green Stars
1826,"Decorated Renegade 85mm+, Fiberglass Dowel",Clubs:85Dfiber,Yellow Facets
1827,Replacement Light Cartridge (LED) for Glow Props ,Glow:REP,aqua
1828,Renegade Diabolo,InvDiab:REN,aqua
1829,LED Poi Ball Heads,POI:PH2,Green
1830,"Px4 hybrid 85mm, Fiberglass Dowel",Clubs:85hybridfiber,RED
1831,Henrys Albatros Europ,Clubs:Haabe,green (3 IN STOCK)
1832,Vegas PX3 and PX4 Play Club Parts ,Clubs:partsvegas,Curved Pastel ($4.00)
1833,S-Staff LED with Fiber Optics,GLOW:SSTAFF,Blue
1834,silicone contact poi knob (10 MM hole),PSKLEDB,black
1835,"Decorated Renegade 85mm, Wood Dowel",Clubs:85D,PURPLE
1836,Q-Axle Hub 36 Hole Red (disk-hub option),QUXHUB36red,hub without disk mount (as shown)
1837,"Px3 hybrid 85mm, Plastic Dowel",Clubs:85hybridplastic,MIXED (we pick the colors)
1838,MHD Pro Sundia diabolo,InvDiab:MHD,Color
1839,"Sirius PX3, PX4 and EX1 Play Club Parts ",Clubs:partseriu,Cap Type and Color ( include screw and washer)
1840,Fyrefli Fire Diabolo,InvDiab:FYR1,Fyrefli Fire Diabolo
1841,ZeroQ-Axle Cranks 145 MM,QUAXPL,Crank Spacers
1842,Todd Strong Devil Stick Book,DEV:DEVHS,Todd Strong Devil Stick Book
1843,Quantum PX3 and PX4 Play Club Parts ,Clubs:partsquant,white smooth handle ( no dowel) ($4.00)
1844,"Decorated Renegade 85mm, Wood Dowel (colored rubber)",Clubs:85DC,"CUSTOM 19"""
1845,Pre-cut Juggling Club Decoration Foil,Clubs:partsdeco,Gold Stars
1846,"Decorated Renegade 85mm+, Fiberglass Dowel",Clubs:85Dfiber,Aqua Stars
1847,Replacement Light Cartridge (LED) for Glow Props ,Glow:REP,yellow
1848,Renegade Diabolo,InvDiab:REN,pink
1849,LED Poi Ball Heads,POI:PH2,Aqua
1850,"Px4 hybrid 85mm, Fiberglass Dowel",Clubs:85hybridfiber,FLORO ORANGE
1851,Henrys Albatros Europ,Clubs:Haabe,Center Tape/Ring Color
1852,Vegas PX3 and PX4 Play Club Parts ,Clubs:partsvegas,Curved Pastel Yellow ($4.00)
1853,S-Staff LED with Fiber Optics,GLOW:SSTAFF,"Half-Red, Half-Blue"
1854,"Decorated Renegade 85mm, Wood Dowel",Clubs:85D,BLACK
1855,Q-Axle Hub 36 Hole Red (disk-hub option),QUXHUB36red,hub with disk mount ( not shown) ($8.00)
1856,"Px3 hybrid 85mm, Plastic Dowel",Clubs:85hybridplastic,WHITE
1857,MHD Pro Sundia diabolo,InvDiab:MHD,white fixed axle (OUT OF STOCK)
1858,"Sirius PX3, PX4 and EX1 Play Club Parts ",Clubs:partseriu,Curved White ($4.00)
1859,ZeroQ-Axle Cranks 145 MM,QUAXPL,I have grey spacers on my hub
1860,Contact Staff DVD,DVD:CSD,Contact Staff DVD
1861,Quantum PX3 and PX4 Play Club Parts ,Clubs:partsquant,Knob Color and Type (includes screw and washer)
1862,"Decorated Renegade 85mm, Wood Dowel (colored rubber)",Clubs:85DC,Free Book Offer “Virtuosos of Juggling”
1863,Pre-cut Juggling Club Decoration Foil,Clubs:partsdeco,Orange Stars 
1864,"Decorated Renegade 85mm+, Fiberglass Dowel",Clubs:85Dfiber,Blue Stars
1865,Replacement Light Cartridge (LED) for Glow Props ,Glow:REP,orange
1866,Renegade Diabolo,InvDiab:REN,tangerine
1867,LED Poi Ball Heads,POI:PH2,Blue
1868,"Px4 hybrid 85mm, Fiberglass Dowel",Clubs:85hybridfiber,FLORO YELLOW
1869,Henrys Albatros Europ,Clubs:Haabe,Black
1870,Vegas PX3 and PX4 Play Club Parts ,Clubs:partsvegas,Curved Pastel Pink ($4.00)
1871,S-Staff LED with Fiber Optics,GLOW:SSTAFF,Replacement Batteries
1872,"Decorated Renegade 85mm, Wood Dowel",Clubs:85D,MIXED-(we pick colors)
1873,"Px3 hybrid 85mm, Plastic Dowel",Clubs:85hybridplastic,RED
1874,MHD Pro Sundia diabolo,InvDiab:MHD,red fixed axle
1875,"Sirius PX3, PX4 and EX1 Play Club Parts ",Clubs:partseriu,Curved Black ($4.00)
1876,ZeroQ-Axle Cranks 145 MM,QUAXPL,I have black spaces and need grey ($5.00)
1877,"Renegade 85mm, Wood Dowel (Colored Rubber)",Clubs:85+colored,Body
1878,Mastering Devilstick Part 1,Books:MD1,Mastering Devilstick Part 1
1879,Henrys Vision Diabolo,InvDiab:VIS, Color
1880,Poi Spinning by Michal Kahn and Welcome to the World of Poi by Klaus Scheuermann,Books:PSPIN,Poi Spinning by Michal Kahn and Welcome to the World of Poi by Klaus Scheuermann
1881,ZeroQ-Axle Cranks 137 MM,QUAXPL,crank spacers
1882,Q-Axle Cranks 125/145 MM,QUAXPLQ,Chrank Spacers
1883,Quantum PX3 and PX4 Play Club Parts ,Clubs:partsquant,White Round ($4.00)
1884,"Decorated Renegade 85mm, Wood Dowel (colored rubber)",Clubs:85DC,I am ordering four or more clubs and want a free book ($26.95 value)
1885,Pre-cut Juggling Club Decoration Foil,Clubs:partsdeco,Pink Stars 
1886,"Decorated Renegade 85mm+, Fiberglass Dowel",Clubs:85Dfiber,Fuchsia Stars
1887,Replacement Light Cartridge (LED) for Glow Props ,Glow:REP,purple
1888,Renegade Diabolo,InvDiab:REN,orange
1889,LED Poi Ball Heads,POI:PH2,Purple
1890,"Px4 hybrid 85mm, Fiberglass Dowel",Clubs:85hybridfiber,FLORO GREEN
1891,Henrys Albatros Europ,Clubs:Haabe, Wrapped/Tube Handle Color
1892,Vegas PX3 and PX4 Play Club Parts ,Clubs:partsvegas,Curved Pastel Blue ($4.00)
1893,S-Staff LED with Fiber Optics,GLOW:SSTAFF,4 sets ( 2 sets per s-staff) ($9.00)
1894,"Decorated Renegade 85mm, Wood Dowel",Clubs:85D,Handle
1895,"Px3 hybrid 85mm, Plastic Dowel",Clubs:85hybridplastic,FLORO ORANGE
1896,MHD Pro Sundia diabolo,InvDiab:MHD,white triple bearing (OUT OF STOCK) ($10.00)
1897,"Sirius PX3, PX4 and EX1 Play Club Parts ",Clubs:partseriu,Curved Pastel ($4.00)
1898,"Renegade 85mm, Wood Dowel (Colored Rubber)",Clubs:85+colored,MIXED (we pick the colors)
1899,Henrys Vision Diabolo,InvDiab:VIS,white (2 IN STOCK)
1900,ZeroQ-Axle Cranks 137 MM,QUAXPL,I have grey spacers on my hub
1901,Q-Axle Cranks 125/145 MM,QUAXPLQ,I have black spacers on my hub
1902,"Devil Stick Juggling, A Step by Step Pamphlet ",Books:DSSBS,"Devil Stick Juggling, A Step by Step Pamphlet "
1903,Quantum PX3 and PX4 Play Club Parts ,Clubs:partsquant,Black Round ($4.00)
1904,Pre-cut Juggling Club Decoration Foil,Clubs:partsdeco,Purple Stars
1905,"Decorated Renegade 85mm+, Fiberglass Dowel",Clubs:85Dfiber,Green Stars
1906,Replacement Light Cartridge (LED) for Glow Props ,Glow:REP,strobe
1907,Renegade Diabolo,InvDiab:REN,red
1908,LED Poi Ball Heads,POI:PH2,Magenta
1909,"Px4 hybrid 85mm, Fiberglass Dowel",Clubs:85hybridfiber,BLUE
1910,Henrys Albatros Europ,Clubs:Haabe,silver wrapped
1911,Vegas PX3 and PX4 Play Club Parts ,Clubs:partsvegas,Curved Pastel Orange ($4.00)
1912,S-Staff LED with Fiber Optics,GLOW:SSTAFF,8 sets ( 2 sets per s-staff) ($18.00)
1913,"Decorated Renegade 85mm, Wood Dowel",Clubs:85D,TAPED
1914,"Px3 hybrid 85mm, Plastic Dowel",Clubs:85hybridplastic,FLORO YELLOW
1915,MHD Pro Sundia diabolo,InvDiab:MHD,red triple bearing ($10.00)
1916,"Sirius PX3, PX4 and EX1 Play Club Parts ",Clubs:partseriu,Curved Pastel Yellow ($4.00)
1917,"Renegade 85mm, Wood Dowel (Colored Rubber)",Clubs:85+colored,WHITE
1918,Henrys Vision Diabolo,InvDiab:VIS,red
1919,ZeroQ-Axle Cranks 137 MM,QUAXPL,I have black spacers and need grey ($5.00)
1920,Q-Axle Cranks 125/145 MM,QUAXPLQ,I have grey spacers on my hub and need black ($5.00)
1921,Gora Chaos Fire Devil Stick,GMP,Gora Chaos Fire Devil Stick
1922,"Decorated Renegade 95mm+, Plastic Dowel",Clubs:95Dplastic,Body/Handle
1923,Fire Snakes,Fdance:SNA1,Length and Rope Diameter
1924,Quantum PX3 and PX4 Play Club Parts ,Clubs:partsquant,Pastel Round Yellow ($4.00)
1925,Pre-cut Juggling Club Decoration Foil,Clubs:partsdeco,Yellow Stars
1926,"Decorated Renegade 85mm+, Fiberglass Dowel",Clubs:85Dfiber,Gold Stars
1927,Replacement Light Cartridge (LED) for Glow Props ,Glow:REP,magenta
1928,Renegade Diabolo,InvDiab:REN,Select Handsticks
1929,LED Poi Ball Heads,POI:PH2,White
1930,"Px4 hybrid 85mm, Fiberglass Dowel",Clubs:85hybridfiber,FLORO PINK
1931,Henrys Albatros Europ,Clubs:Haabe,white wrapped 
1932,Vegas PX3 and PX4 Play Club Parts ,Clubs:partsvegas,Curved Pastel Green ($4.00)
1933,"Decorated Renegade 85mm, Wood Dowel",Clubs:85D,UN-TAPED ( out of stock)
1934,"Px3 hybrid 85mm, Plastic Dowel",Clubs:85hybridplastic,FLORO GREEN
1935,MHD Pro Sundia diabolo,InvDiab:MHD,blue fixed
1936,"Sirius PX3, PX4 and EX1 Play Club Parts ",Clubs:partseriu,Curved Pastel Pink ($4.00)
1937,"Renegade 85mm, Wood Dowel (Colored Rubber)",Clubs:85+colored,RED
1938,Henrys Vision Diabolo,InvDiab:VIS,black (2 IN STOCK)
1939,"Decorated Renegade 95mm+, Plastic Dowel",Clubs:95Dplastic,"white body, play true wrapped handle"
1940,Fire Snakes,Fdance:SNA1,30 in. - 5/8 in. rope
1941,Staff Groove Basics DVD,DVD:SGB,Staff Groove Basics DVD
1942,Q-Axle Cranks 110/136 MM,QUAXPLQ2,Q-Axle Cranks 110/136 MM
1943,Weight Edge Flag Poi,ManPoi:Rpoi,color
1944,Henrys Pirouette Circus 1/8,Clubs:Hpircir,Body Decoration Color
1945,Quantum PX3 and PX4 Play Club Parts ,Clubs:partsquant,Pastel Round Pink ($4.00)
1946,Pre-cut Juggling Club Decoration Foil,Clubs:partsdeco,Silver Mylar
1947,"Decorated Renegade 85mm+, Fiberglass Dowel",Clubs:85Dfiber,Orange Stars 
1948,Replacement Light Cartridge (LED) for Glow Props ,Glow:REP,white
1949,Renegade Diabolo,InvDiab:REN,renegade wood ($10.00)
1950,LED Poi Ball Heads,POI:PH2,7 Color-change
1951,"Px4 hybrid 85mm, Fiberglass Dowel",Clubs:85hybridfiber,LIGHT BLUE
1952,Henrys Albatros Europ,Clubs:Haabe,white tube ($-5.00)
1953,Vegas PX3 and PX4 Play Club Parts ,Clubs:partsvegas,Curved Pastel Purple ($4.00)
1954,"Decorated Renegade 85mm, Wood Dowel",Clubs:85D,white Play wrapped handle (no tape)
1955,"Px3 hybrid 85mm, Plastic Dowel",Clubs:85hybridplastic,BLUE
1956,MHD Pro Sundia diabolo,InvDiab:MHD,blue triple bearing ($10.00)
1957,"Sirius PX3, PX4 and EX1 Play Club Parts ",Clubs:partseriu,Curved Pastel Blue ($4.00)
1958,"Renegade 85mm, Wood Dowel (Colored Rubber)",Clubs:85+colored,FLORO ORANGE
1959,Henrys Vision Diabolo,InvDiab:VIS,blue
1960,"Decorated Renegade 95mm+, Plastic Dowel",Clubs:95Dplastic,Decoration
1961,Fire Snakes,Fdance:SNA1,30 in. - 3/4 in. rope ($5.00)
1962,Weight Edge Flag Poi,ManPoi:Rpoi,green
1963,Henrys Pirouette Circus 1/8,Clubs:Hpircir,red/silver
1964,PX4 Sirius Short Handle (19.25 inch),Clubs:PX4short,Flat Cap Color
1965,Quantum PX3 and PX4 Play Club Parts ,Clubs:partsquant,Pastel Round Blue ($4.00)
1966,Pre-cut Juggling Club Decoration Foil,Clubs:partsdeco,Silver Spiral slinky
1967,"Decorated Renegade 85mm+, Fiberglass Dowel",Clubs:85Dfiber,Pink Stars 
1968,Replacement Light Cartridge (LED) for Glow Props ,Glow:REP,Battery Set for Light Cartridge
1969,Renegade Diabolo,InvDiab:REN,henrys metal ($20.00)
1970,LED Poi Ball Heads,POI:PH2,Multi-Color Fade
1971,"Px4 hybrid 85mm, Fiberglass Dowel",Clubs:85hybridfiber,PURPLE
1972,Henrys Albatros Europ,Clubs:Haabe,Standard Knob Color
1973,Vegas PX3 and PX4 Play Club Parts ,Clubs:partsvegas,Curved Red ($4.00)
1974,"Decorated Renegade 85mm, Wood Dowel",Clubs:85D,Decoration
1975,"Px3 hybrid 85mm, Plastic Dowel",Clubs:85hybridplastic,FLORO PINK
1976,MHD Pro Sundia diabolo,InvDiab:MHD,Handsticks
1977,"Sirius PX3, PX4 and EX1 Play Club Parts ",Clubs:partseriu,Curved Pastel Orange ($4.00)
1978,"Renegade 85mm, Wood Dowel (Colored Rubber)",Clubs:85+colored,FLORO YELLOW
1979,Henrys Vision Diabolo,InvDiab:VIS,green
1980,"Decorated Renegade 95mm+, Plastic Dowel",Clubs:95Dplastic,Aqua Facets
1981,Fire Snakes,Fdance:SNA1,30 in. - 1 in. rope ($10.00)
1982,Weight Edge Flag Poi,ManPoi:Rpoi,pink
1983,Henrys Pirouette Circus 1/8,Clubs:Hpircir,blue/silver 
1984,PX4 Sirius Short Handle (19.25 inch),Clubs:PX4short,black
1985,Quantum PX3 and PX4 Play Club Parts ,Clubs:partsquant,Pastel Round Orange ($4.00)
1986,Pre-cut Juggling Club Decoration Foil,Clubs:partsdeco,Silver Diamond
1987,"Decorated Renegade 85mm+, Fiberglass Dowel",Clubs:85Dfiber,Purple Stars
1988,Replacement Light Cartridge (LED) for Glow Props ,Glow:REP,"no battery, light only ($5.00)"
1989,Renegade Diabolo,InvDiab:REN,henrys carbon ($30.00)
1990,LED Poi Ball Heads,POI:PH2,Strobe
1991,"Px4 hybrid 85mm, Fiberglass Dowel",Clubs:85hybridfiber,Evo Tube Handle 
1992,Henrys Albatros Europ,Clubs:Haabe,Black
1993,Vegas PX3 and PX4 Play Club Parts ,Clubs:partsvegas,Curved Fluro Pink ($4.00)
1994,"Decorated Renegade 85mm, Wood Dowel",Clubs:85D,Aqua Facets
1995,"Px3 hybrid 85mm, Plastic Dowel",Clubs:85hybridplastic,LIGHT BLUE
1996,MHD Pro Sundia diabolo,InvDiab:MHD,none
1997,"Sirius PX3, PX4 and EX1 Play Club Parts ",Clubs:partseriu,Curved Pastel Green ($4.00)
1998,"Renegade 85mm, Wood Dowel (Colored Rubber)",Clubs:85+colored,FLORO GREEN
1999,Henrys Vision Diabolo,InvDiab:VIS,yellow
2000,"Decorated Renegade 95mm+, Plastic Dowel",Clubs:95Dplastic,Blue Facets
2001,Weight Edge Flag Poi,ManPoi:Rpoi,blue
2002,Henrys Pirouette Circus 1/8,Clubs:Hpircir,green/silver 
2003,PX4 Sirius Short Handle (19.25 inch),Clubs:PX4short,white
2004,Quantum PX3 and PX4 Play Club Parts ,Clubs:partsquant,Pastel Round Green ($4.00)
2005,Pre-cut Juggling Club Decoration Foil,Clubs:partsdeco,Silver Cracked Ice
2006,"Decorated Renegade 85mm+, Fiberglass Dowel",Clubs:85Dfiber,Red Stars
2007,Replacement Light Cartridge (LED) for Glow Props ,Glow:REP,battery set with light ($7.00)
2008,Renegade Diabolo,InvDiab:REN,henrys fiberglass ($30.00)
2009,LED Poi Ball Heads,POI:PH2,Heads
2010,"Px4 hybrid 85mm, Fiberglass Dowel",Clubs:85hybridfiber,White Smooth
2011,Henrys Albatros Europ,Clubs:Haabe,Flat Cap Color
2012,Vegas PX3 and PX4 Play Club Parts ,Clubs:partsvegas,Curved Fluro Green ($4.00)
2013,"Decorated Renegade 85mm, Wood Dowel",Clubs:85D,Blue Facets
2014,"Px3 hybrid 85mm, Plastic Dowel",Clubs:85hybridplastic,PURPLE
2015,MHD Pro Sundia diabolo,InvDiab:MHD,henrys fiberglass black ($25.00)
2016,"Sirius PX3, PX4 and EX1 Play Club Parts ",Clubs:partseriu,Curved Pastel Purple ($4.00)
2017,"Renegade 85mm, Wood Dowel (Colored Rubber)",Clubs:85+colored,BLUE
2018,Henrys Vision Diabolo,InvDiab:VIS,orange
2019,"Decorated Renegade 95mm+, Plastic Dowel",Clubs:95Dplastic,Fuchsia Facets
2020,Henrys Pirouette Circus 1/8,Clubs:Hpircir,Center Tape/Ring Color
2021,PX4 Sirius Short Handle (19.25 inch),Clubs:PX4short,pastel blue
2022,Quantum PX3 and PX4 Play Club Parts ,Clubs:partsquant,Pastel Round Purple ($4.00)
2023,Pre-cut Juggling Club Decoration Foil,Clubs:partsdeco,Silver Fireworks
2024,"Decorated Renegade 85mm+, Fiberglass Dowel",Clubs:85Dfiber,Yellow Stars
2025,Renegade Diabolo,InvDiab:REN,play metal white ($20.00)
2026,LED Poi Ball Heads,POI:PH2,70 mm Ball (each)
2027,"Px4 hybrid 85mm, Fiberglass Dowel",Clubs:85hybridfiber,Cap Knob and Center Ring Color
2028,Henrys Albatros Europ,Clubs:Haabe,Black
2029,Vegas PX3 and PX4 Play Club Parts ,Clubs:partsvegas,Curved Fluro Yellow ($4.00)
2030,"Decorated Renegade 85mm, Wood Dowel",Clubs:85D,Fuchsia Facets
2031,"Px3 hybrid 85mm, Plastic Dowel",Clubs:85hybridplastic,Evo Tube Handle 
2032,MHD Pro Sundia diabolo,InvDiab:MHD,henrys carbon black ($30.00)
2033,"Sirius PX3, PX4 and EX1 Play Club Parts ",Clubs:partseriu,Curved Red ($4.00)
2034,"Renegade 85mm, Wood Dowel (Colored Rubber)",Clubs:85+colored,FLORO PINK
2035,Henrys Vision Diabolo,InvDiab:VIS,Handsticks
2036,"Decorated Renegade 95mm+, Plastic Dowel",Clubs:95Dplastic,Green Facet
2037,Henrys Pirouette Circus 1/8,Clubs:Hpircir,white
2038,PX4 Sirius Short Handle (19.25 inch),Clubs:PX4short,floro blue
2039,Quantum PX3 and PX4 Play Club Parts ,Clubs:partsquant,Red Round ($4.00)
2040,Pre-cut Juggling Club Decoration Foil,Clubs:partsdeco,Blue Rainbow Cloud
2041,"Decorated Renegade 85mm+, Fiberglass Dowel",Clubs:85Dfiber,Silver Mylar 
2042,Renegade Diabolo,InvDiab:REN,play metal blue ($20.00)
2043,LED Poi Ball Heads,POI:PH2,100mm Ball (each) ($4.00)
2044,"Px4 hybrid 85mm, Fiberglass Dowel",Clubs:85hybridfiber,black
2045,Vegas PX3 and PX4 Play Club Parts ,Clubs:partsvegas,Curved Fluro Orange ($4.00)
2046,"Decorated Renegade 85mm, Wood Dowel",Clubs:85D,Green Facet
2047,"Px3 hybrid 85mm, Plastic Dowel",Clubs:85hybridplastic,White Tube Smooth
2048,MHD Pro Sundia diabolo,InvDiab:MHD,henrys carbon white ($30.00)
2049,"Sirius PX3, PX4 and EX1 Play Club Parts ",Clubs:partseriu,Curved Fluro Pink ($4.00)
2050,"Renegade 85mm, Wood Dowel (Colored Rubber)",Clubs:85+colored,LIGHT BLUE
2051,Henrys Vision Diabolo,InvDiab:VIS,none
2052,"Decorated Renegade 95mm+, Plastic Dowel",Clubs:95Dplastic,Orange Facets
2053,Henrys Pirouette Circus 1/8,Clubs:Hpircir, Wrapped/Tube Handle Color
2054,PX4 Sirius Short Handle (19.25 inch),Clubs:PX4short,pastel green
2055,Quantum PX3 and PX4 Play Club Parts ,Clubs:partsquant,Fluro Round Pink ($4.00)
2056,Pre-cut Juggling Club Decoration Foil,Clubs:partsdeco,Red Rainbow Cloud
2057,"Decorated Renegade 85mm+, Fiberglass Dowel",Clubs:85Dfiber,Silver Spiral slinky
2058,Renegade Diabolo,InvDiab:REN,play metal yellow ($20.00)
2059,LED Poi Ball Heads,POI:PH2,Atom (each)
2060,"Px4 hybrid 85mm, Fiberglass Dowel",Clubs:85hybridfiber,white
2061,Vegas PX3 and PX4 Play Club Parts ,Clubs:partsvegas,Flat White ($4.00)
2062,"Decorated Renegade 85mm, Wood Dowel",Clubs:85D,Orange Facets
2063,"Px3 hybrid 85mm, Plastic Dowel",Clubs:85hybridplastic,White Tube (wrapped profile tube)
2064,MHD Pro Sundia diabolo,InvDiab:MHD,henrys metal green ($20.00)
2065,"Sirius PX3, PX4 and EX1 Play Club Parts ",Clubs:partseriu,Curved Fluro Green ($4.00)
2066,"Renegade 85mm, Wood Dowel (Colored Rubber)",Clubs:85+colored,PURPLE
2067,Henrys Vision Diabolo,InvDiab:VIS,henrys fiberglass black ($25.00)
2068,"Decorated Renegade 95mm+, Plastic Dowel",Clubs:95Dplastic,Pink Facets
2069,Henrys Pirouette Circus 1/8,Clubs:Hpircir,silver wrapped
2070,PX4 Sirius Short Handle (19.25 inch),Clubs:PX4short,floro green
2071,Quantum PX3 and PX4 Play Club Parts ,Clubs:partsquant,Fluro Round Green ($4.00)
2072,Pre-cut Juggling Club Decoration Foil,Clubs:partsdeco,Yellow Rainbow Cloud
